,,,
Риски,ФАКТОРЫ,МЕРА,"ДУАЛЬНЫЕ (ЕСЛИ РИСК-ФАКТОР ЕСТЬ, ТО ЗНАЧИТ, ЧТО МЕРЫ ИЗ ЯЧЕЙКИ НЕТ И НАОБОРОТ)"
DPI,UFR-001,UMF-001,
DPI,UFR-001,UMF-059,
DPI,UFR-001,UMF-060,
DPI,UFR-001,UMF-069,
DPI,UFR-004,UMF-001,
DPI,UFR-004,UMF-002,
DPI,UFR-005,UMF-001,
DPI,UFR-005,UMF-003,
DPI,UFR-012,UMF-006,UMF-103
DPI,UFR-012,UMF-059,UMF-103
DPI,UFR-012,UMF-069,UMF-103
DPI,UFR-013,UMF-006,UMF-007
DPI,UFR-013,UMF-007,UMF-007
DPI,UFR-013,UMF-060,UMF-007
DPI,UFR-013,UMF-069,UMF-007
DPI,UFR-014,UMF-007,
DPI,UFR-014,UMF-008,
DPI,UFR-014,UMF-013,
DPI,UFR-014,UMF-069,
DPI,UFR-014,UMF-056,
DPI,UFR-015,UMF-006,UMF-006
DPI,UFR-041,UMF-016,
DPI,UFR-041,UMF-021,
DPI,UFR-041,UMF-041,
DPI,UFR-041,UMF-059,
DPI,UFR-043,UMF-016,
DPI,UFR-043,UMF-021,
DPI,UFR-043,UMF-041,
DPI,UFR-082,UMF-041,UMF-041
DPI,UFR-071,UMF-011,UMF-012
DPI,UFR-071,UMF-012,UMF-012
DPI,UFR-071,UMF-013,UMF-012
DPI,UFR-072,UMF-011,UMF-011
DPI,UFR-072,UMF-013,UMF-011
DPI,UFR-020,UMF-059,
DPI,UFR-086,UMF-056,
DPI,UFR-088,UMF-055,UMF-055
TOXIC,UFR-001,UMF-001,
TOXIC,UFR-001,UMF-069,
TOXIC,UFR-001,,
TOXIC,UFR-001,UMF-067,
TOXIC,UFR-001,UMF-004,
TOXIC,UFR-001,UMF-006,
TOXIC,UFR-001,UMF-095,
TOXIC,UFR-001,UMF-014,
TOXIC,UFR-001,UMF-059,
TOXIC,UFR-001,UMF-060,
TOXIC,UFR-002,UMF-004,
TOXIC,UFR-005,UMF-004,
TOXIC,UFR-012,UMF-006,UMF-103
TOXIC,UFR-012,UMF-095,UMF-103
TOXIC,UFR-012,UMF-069,UMF-103
TOXIC,UFR-018,UMF-096,
TOXIC,UFR-018,,
TOXIC,UFR-018,UMF-001,
TOXIC,UFR-018,UMF-006,
TOXIC,UFR-018,UMF-095,
TOXIC,UFR-018,UMF-014,
TOXIC,UFR-030,UMF-014,UMF-031
TOXIC,UFR-030,UMF-059,UMF-031
TOXIC,UFR-030,UMF-060,UMF-031
TOXIC,UFR-030,UMF-069,UMF-031
TOXIC,UFR-030,UMF-035,UMF-031
TOXIC,UFR-011,UMF-014,UMF-015
TOXIC,UFR-011,UMF-015,UMF-015
TOXIC,UFR-071,UMF-011,UMF-012
TOXIC,UFR-072,UMF-014,UMF-011
TOXIC,UFR-072,UMF-011,UMF-011
TOXIC,UFR-023,UMF-014,
TOXIC,UFR-023,UMF-059,
TOXIC,UFR-023,UMF-060,
TOXIC,UFR-023,,
TOXIC,UFR-027,UMF-077,UMF-077
TOXIC,UFR-101,UMF-077,
TOXIC,UFR-077,UMF-069,UMF-021
TOXIC,UFR-077,UMF-021,UMF-021
AGENCY,UFR-042,UMF-016,UMF-016
AGENCY,UFR-042,UMF-071,UMF-016
AGENCY,UFR-044,UMF-019,
AGENCY,UFR-044,UMF-017,
AGENCY,UFR-046,UMF-016,
AGENCY,UFR-046,,
AGENCY,UFR-046,UMF-071,
AGENCY,UFR-043,UMF-016,
AGENCY,UFR-043,UMF-019,
AGENCY,UFR-043,UMF-071,
AGENCY,UFR-045,UMF-020,
AGENCY,UFR-042,UMF-019,UMF-016
AGENCY,UFR-042,UMF-017,UMF-016
AGENCY,UFR-085,UMF-041,
AGENCY,UFR-085,UMF-042,
AGENCY,UFR-085,UMF-071,
AGENCY,UFR-082,UMF-041,UMF-041
AGENCY,UFR-082,UMF-056,UMF-041
AGENCY,UFR-083,UMF-042,UMF-042
AGENCY,UFR-064,UMF-042,UMF-044
AGENCY,UFR-064,UMF-044,UMF-044
AGENCY,UFR-084,UMF-041,
AGENCY,UFR-084,UMF-071,
AGENCY,UFR-058,UMF-022,UMF-021
AGENCY,UFR-058,UMF-059,UMF-021
AGENCY,UFR-058,UMF-060,UMF-021
AGENCY,UFR-058,UMF-021,UMF-021
AGENCY,UFR-058,UMF-023,UMF-021
AGENCY,UFR-058,UMF-024,UMF-021
AGENCY,UFR-059,UMF-022,UMF-022
AGENCY,UFR-059,UMF-023,UMF-022
AGENCY,UFR-056,UMF-026,UMF-026
AGENCY,UFR-056,UMF-027,UMF-026
AGENCY,UFR-056,UMF-028,UMF-026
AGENCY,UFR-056,UMF-059,UMF-026
AGENCY,UFR-057,UMF-027,UMF-027
AGENCY,UFR-057,UMF-060,UMF-027
AGENCY,UFR-047,UMF-017,UMF-017
AGENCY,UFR-048,UMF-017,UMF-017
AGENCY,UFR-043,UMF-021,
AGENCY,UFR-043,UMF-024,
AGENCY,UFR-043,UMF-060,
AGENCY,UFR-043,,
AGENCY,UFR-053,UMF-051,
AGENCY,UFR-053,,
AGENCY,UFR-088,UMF-055,UMF-055
AGENCY,UFR-062,UMF-028,UMF-028
AGENCY,UFR-062,UMF-059,UMF-028
AGENCY,UFR-019,UMF-092,
AGENCY,UFR-019,UMF-060,
AGENCY,UFR-049,,
AGENCY,UFR-049,UMF-018,
SUPPLY,UFR-094,UMF-085,
SUPPLY,UFR-094,UMF-079,
SUPPLY,UFR-095,UMF-080,
SUPPLY,UFR-096,,
SUPPLY,UFR-086,UMF-056,
SUPPLY,UFR-088,UMF-055,UMF-055
SUPPLY,UFR-045,UMF-051,
SUPPLY,UFR-045,UMF-086,
SUPPLY,UFR-042,UMF-051,UMF-016
SUPPLY,UFR-042,UMF-016,UMF-016
SUPPLY,UFR-094,,
SUPPLY,UFR-082,UMF-056,UMF-041
SUPPLY,UFR-082,UMF-041,UMF-041
SUPPLY,UFR-031,UMF-035,
SUPPLY,UFR-098,UMF-083,UMF-083
SUPPLY,UFR-046,,
SUPPLY,UFR-100,UMF-080,UMF-080 
SUPPLY,UFR-043,UMF-051,
SUPPLY,UFR-043,UMF-016,
